"protein"	"Time"	"Cow"	"Diet"
4.07	2	"BL27"	"barley+lupins"
3.35	3	"BL27"	"barley+lupins"
3.46	4	"BL27"	"barley+lupins"
3.69	1	"L01"	"lupins"
3.38	2	"L01"	"lupins"
3	3	"L01"	"lupins"
3.5	4	"L01"	"lupins"
4.2	1	"L02"	"lupins"
3.35	2	"L02"	"lupins"
3.37	3	"L02"	"lupins"
3.07	4	"L02"	"lupins"
3.31	1	"L03"	"lupins"
3.04	2	"L03"	"lupins"
2.8	3	"L03"	"lupins"
3.17	4	"L03"	"lupins"
3.13	1	"L04"	"lupins"
3.34	2	"L04"	"lupins"
3.34	3	"L04"	"lupins"
3.25	4	"L04"	"lupins"
3.73	1	"L05"	"lupins"
3.61	2	"L05"	"lupins"
3.82	3	"L05"	"lupins"
3.61	4	"L05"	"lupins"
4.32	1	"L06"	"lupins"
3.7	2	"L06"	"lupins"
3.62	3	"L06"	"lupins"
3.5	4	"L06"	"lupins"
3.04	1	"L07"	"lupins"
2.89	2	"L07"	"lupins"
2.78	3	"L07"	"lupins"
2.84	4	"L07"	"lupins"
3.84	1	"L08"	"lupins"
3.51	2	"L08"	"lupins"
3.39	3	"L08"	"lupins"
2.88	4	"L08"	"lupins"
3.98	1	"L09"	"lupins"
3.3	2	"L09"	"lupins"
3.02	3	"L09"	"lupins"
2.99	4	"L09"	"lupins"
4.18	1	"L10"	"lupins"
4.12	2	"L10"	"lupins"
3.84	3	"L10"	"lupins"
3.65	4	"L10"	"lupins"
4.2	1	"L11"	"lupins"
3.4	2	"L11"	"lupins"
3.55	3	"L11"	"lupins"
3.45	4	"L11"	"lupins"
4.1	1	"L12"	"lupins"
3.59	2	"L12"	"lupins"
3.52	3	"L12"	"lupins"
3.43	4	"L12"	"lupins"
3.25	1	"L13"	"lupins"
3.75	2	"L13"	"lupins"
3.42	3	"L13"	"lupins"
3.38	4	"L13"	"lupins"
3.34	1	"L14"	"lupins"
3	2	"L14"	"lupins"
3.1	3	"L14"	"lupins"
3.31	4	"L14"	"lupins"
3.5	1	"L15"	"lupins"
3.35	2	"L15"	"lupins"
3.05	3	"L15"	"lupins"
2.92	4	"L15"	"lupins"
4.13	1	"L16"	"lupins"
3.12	2	"L16"	"lupins"
2.96	3	"L16"	"lupins"
2.86	4	"L16"	"lupins"
3.21	1	"L17"	"lupins"
3.52	2	"L17"	"lupins"
3.43	3	"L17"	"lupins"
3.45	4	"L17"	"lupins"
3.9	1	"L18"	"lupins"
3.19	2	"L18"	"lupins"
3.53	3	"L18"	"lupins"
3.45	4	"L18"	"lupins"
3.5	1	"L19"	"lupins"
3.12	2	"L19"	"lupins"
3.33	3	"L19"	"lupins"
3.22	4	"L19"	"lupins"
4.1	1	"L20"	"lupins"
3.42	2	"L20"	"lupins"
3.58	3	"L20"	"lupins"
3.11	4	"L20"	"lupins"
2.69	1	"L21"	"lupins"
3.39	2	"L21"	"lupins"
3.2	3	"L21"	"lupins"
3.06	4	"L21"	"lupins"
4.3	1	"L22"	"lupins"
3.37	2	"L22"	"lupins"
3.47	3	"L22"	"lupins"
3.37	4	"L22"	"lupins"
4.06	1	"L23"	"lupins"
3.85	2	"L23"	"lupins"
3.93	3	"L23"	"lupins"
4	4	"L23"	"lupins"
3.88	1	"L24"	"lupins"
3.81	2	"L24"	"lupins"
3.44	3	"L24"	"lupins"
3.14	4	"L24"	"lupins"
3.95	1	"L25"	"lupins"
3.22	2	"L25"	"lupins"
3.38	3	"L25"	"lupins"
3.2	4	"L25"	"lupins"
3.67	1	"L26"	"lupins"
3.26	2	"L26"	"lupins"
3.35	3	"L26"	"lupins"
3.28	4	"L26"	"lupins"
4.27	1	"L27"	"lupins"
3.95	2	"L27"	"lupins"
3.85	3	"L27"	"lupins"
3.85	4	"L27"	"lupins"
